ID,electricity_consumption
cluster_1_2022-01-01,313.1407
cluster_2_2022-01-01,509.60516
cluster_3_2022-01-01,660.0195
cluster_4_2022-01-01,965.70087
cluster_1_2022-01-02,356.9773
cluster_2_2022-01-02,507.7952
cluster_3_2022-01-02,731.3037
cluster_4_2022-01-02,1041.9204
cluster_1_2022-01-03,410.02887
cluster_2_2022-01-03,594.0395
cluster_3_2022-01-03,791.6946
cluster_4_2022-01-03,1169.0872
cluster_1_2022-01-04,447.71777
cluster_2_2022-01-04,641.54126
cluster_3_2022-01-04,826.51044
cluster_4_2022-01-04,1230.8323
cluster_1_2022-01-05,489.22446
cluster_2_2022-01-05,702.2573
cluster_3_2022-01-05,903.1587
cluster_4_2022-01-05,1340.9219
cluster_1_2022-01-06,488.03436
cluster_2_2022-01-06,722.01764
cluster_3_2022-01-06,972.7522
cluster_4_2022-01-06,1415.2639
cluster_1_2022-01-07,464.7113
cluster_2_2022-01-07,754.705
cluster_3_2022-01-07,975.1566
cluster_4_2022-01-07,1375.1816
cluster_1_2022-01-08,432.22586
cluster_2_2022-01-08,631.6612
cluster_3_2022-01-08,869.4835
cluster_4_2022-01-08,1226.43
cluster_1_2022-01-09,412.67377
cluster_2_2022-01-09,628.6197
cluster_3_2022-01-09,845.30963
cluster_4_2022-01-09,1209.3003
cluster_1_2022-01-10,503.3519
cluster_2_2022-01-10,717.6665
cluster_3_2022-01-10,938.0735
cluster_4_2022-01-10,1370.5579
cluster_1_2022-01-11,511.68646
cluster_2_2022-01-11,742.61743
cluster_3_2022-01-11,986.8252
cluster_4_2022-01-11,1446.9083
cluster_1_2022-01-12,510.24265
cluster_2_2022-01-12,756.80804
cluster_3_2022-01-12,982.74945
cluster_4_2022-01-12,1464.0339
cluster_1_2022-01-13,502.32617
cluster_2_2022-01-13,779.7021
cluster_3_2022-01-13,968.7724
cluster_4_2022-01-13,1450.6249
cluster_1_2022-01-14,494.45844
cluster_2_2022-01-14,766.1156
cluster_3_2022-01-14,948.69727
